Brand,Model,Processor,RAM,Storage,Display,GPU,Price_BDT,Availability,Source,Product_URL
Lenovo,Lenovo IdeaPad Slim 3 15ABR8 AMD Ryzen 7 5825U 16GB RAM 512GB SSD 15.6 Inch FHD Display Abyss Blue Laptop,AMD Ryzen 7,16GB,512GB SSD,"15.6""",AMD Radeon Graphics,90000,In Stock,ryans.com,https://www.ryans.com/lenovo-ideapad-slim-3-15abr8-laptop
Lenovo,"Lenovo IdeaPad Slim 3 15ABR8 AMD Ryzen 7 5825U 16GB RAM, 512GB SSD 15.6 Inch FHD Display Arctic Grey Laptop #82XM014DLK-2Y",AMD Ryzen 7,16GB,512GB SSD,"15.6""",AMD Radeon Graphics,90000,In Stock,ryans.com,https://www.ryans.com/lenovo-ideapad-slim-3-15abr8-amd-ryzen-7-5825u-16gb-512gb-laptop
Lenovo,Lenovo IdeaPad Slim 3 14ABR8 AMD Ryzen 7 5825U 16GB RAM 512GB SSD 14 Inch FHD TN Display Arctic Grey Laptop,AMD Ryzen 7,16GB,512GB SSD,"14""",AMD Radeon Graphics,90000,In Stock,ryans.com,https://www.ryans.com/lenovo-ideapad-slim-3-14abr8-amd-ryzen-7-5825u-16gb-ram-laptop
Lenovo,Lenovo IdeaPad Slim 3 14IRH10 Intel Core i5 13420H 16GB RAM 1TB SSD 14 Inch FHD+ WUXGA Display Luna Grey Laptop,Intel Core i5,16GB,1TB SSD,"14""",Intel UHD Graphics,92500,In Stock,ryans.com,https://www.ryans.com/lenovo-ideapad-slim-3-14irh10-intel-core-i5-laptop
Lenovo,Lenovo IdeaPad Slim 3 15IRH10 Intel Core i5 13420H 16GB RAM 1TB SSD 15.3 Inch FHD+ WUXGA Display Luna Grey Laptop,Intel Core i5,16GB,1TB SSD,"15.3""",Intel UHD Graphics,92500,In Stock,ryans.com,https://www.ryans.com/lenovo-ideapad-slim-3-15irh10-intel-core-i5-13420h-laptop
ASUS,ASUS VivoBook Pro 15 K3500PA Intel Core i7 11370H 8GB RAM 512GB SSD 15.6 Inch FHD Display Quiet Blue Laptop,Intel Core i7,8GB,512GB SSD,"15.6""",Intel Iris Xe Graphics,93000,In Stock,ryans.com,https://www.ryans.com/asus-vivobook-pro-15-k3500pa-11th-gen-intel-core-i7-11370h-15.6-inch-fhd-display-quiet-blue-laptop
ASUS,ASUS VivoBook Go 14 L1404FA AMD Ryzen 5 7520U 16GB RAM 512GB SSD 14 Inch FHD Display Mixed Black Laptop,AMD Ryzen 5,16GB,512GB SSD,"14""",AMD Radeon 610M Graphics,93000,In Stock,ryans.com,https://www.ryans.com/asus-vivobook-go-14-l1404fa-amd-ryzen-5-7520u-laptop
ASUS,Asus VivoBook Go 14 L1404FA AMD Ryzen 5 7520U 16GB RAM 512GB SSD 14 Inch FHD Display Cool Silver Laptop,AMD Ryzen 5,16GB,512GB SSD,"14""",AMD Radeon 610M Graphics,93000,In Stock,ryans.com,https://www.ryans.com/asus-vivobook-go-14-l1404fa-amd-ryzen-5-7520u-16gb-ram-laptop
ASUS,Asus VivoBook 14 A1404VA Series 1 Intel Core 5 120U 16GB RAM 512GB SSD 14 Inch FHD Display Quiet Blue Laptop,Intel Core 5,16GB,512GB SSD,"14""",Intel Graphics,93000,In Stock,ryans.com,https://www.ryans.com/asus-vivobook-14-a1404va-series-1-intel-core-5-120u-16gb-ram-laptop
ASUS,Asus VivoBook 14 A1404VA Series 1 Intel Core 5 120U 16GB RAM 512GB SSD 14 Inch FHD Display Cool Silver Laptop #A1404VA-EB147W,Intel Core 5,16GB,512GB SSD,"14""",Intel Graphics,93000,In Stock,ryans.com,https://www.ryans.com/asus-vivobook-14-a1404va-series-1-intel-core-5-120u-laptop
ASUS,"Asus VivoBook 15 A1504VA Series 1 Intel Core 5 120U 16GB RAM, 512GB SSD 15.6 Inch FHD Display Quiet Blue Laptop",Intel Core 5,16GB,512GB SSD,"15.6""",Intel Graphics,93000,In Stock,ryans.com,https://www.ryans.com/asus-vivobook-15-a1504va-series-1-intel-core-5-120u-quiet-blue-laptop
ASUS,"ASUS VivoBook Go 15 E1504FA AMD Ryzen 5 40 16GB RAM, 512GB SSD Green Gray Laptop",AMD Ryzen 5,16GB,512GB SSD,"15.6""",AMD Radeon 610M Graphics,93000,In Stock,ryans.com,https://www.ryans.com/asus-vivobook-go-15-e1504fa-amd-ryzen-5-40-laptop
ASUS,"ASUS VivoBook Go 15 E1504FA AMD Ryzen 5 40 16GB RAM, 512GB SSD Cool Silver Laptop",AMD Ryzen 5,16GB,512GB SSD,"15.6""",AMD Radeon 610M Graphics,93000,In Stock,ryans.com,https://www.ryans.com/asus-vivobook-go-15-e1504fa-amd-ryzen-5-40-cool-silver-laptop
ASUS,"ASUS VivoBook Go 15 E1504FA AMD Ryzen 5 40 16GB RAM, 512GB SSD Mixed Black Laptop",AMD Ryzen 5,16GB,512GB SSD,"15.6""",AMD Radeon 610M Graphics,93000,In Stock,ryans.com,https://www.ryans.com/asus-vivobook-go-15-e1504fa-amd-ryzen-5-40-mixed-black-laptop
ASUS,Asus VivoBook Go 14 E1404FA AMD Ryzen 5 40 16GB RAM 512GB SSD 14 Inch FHD Display Green Gray Laptop,AMD Ryzen 5,16GB,512GB SSD,"14""",AMD Radeon 610M Graphics,93000,In Stock,ryans.com,https://www.ryans.com/asus-vivobook-go-14-e1404fa-amd-ryzen-5-40-green-gray-laptop
ASUS,Asus VivoBook Go 14 E1404FA AMD Ryzen 5 40 16GB RAM 512GB SSD 14 Inch FHD Display Cool Silver Laptop,AMD Ryzen 5,16GB,512GB SSD,"14""",AMD Radeon 610M Graphics,93000,In Stock,ryans.com,https://www.ryans.com/asus-vivobook-go-14-e1404fa-amd-ryzen-5-40-cool-silver-laptop
