Brand,Model,Processor,RAM,Storage,Display,GPU,Price_BDT,Availability,Source,Product_URL
HP,HP 15-fd0808TU Core i3 1315U 8GB RAM 512GB SSD 15.6 Inch FHD Display Silver Laptop,Core i3,8GB,512GB SSD,"15.6""",Intel UHD Graphics,65990,In Stock,ryans.com,https://www.ryans.com/hp-15-fd0808tu-core-i3-1315u-laptop
Smart,"Smart Flairedge 12th Gen Intel Core i7 1255U 8GB RAM, 512GB SSD Silver Laptop",Intel Core i7,8GB,512GB SSD,"15.6""",Intel Iris Xe Graphics,67500,In Stock,ryans.com,https://www.ryans.com/smart-flairedge-12th-gen-intel-core-i7-1255u-laptop
HP,HP 15-fd0176TU Intel Core i3 1315U 16GB RAM 512GB SSD 15.6 Inch FHD Display Moonlight Blue Laptop,Intel Core i3,16GB,512GB SSD,"15.6""",Intel UHD Graphics,71000,In Stock,ryans.com,https://www.ryans.com/hp-15-fd0176tu-intel-core-i3-1315u-laptop
HP,HP 15-fd0180TU Intel Core i3 1315U 16GB RAM 512GB SSD 15.6 Inch FHD Display Silver Laptop,Intel Core i3,16GB,512GB SSD,"15.6""",Intel UHD Graphics,71000,In Stock,ryans.com,https://www.ryans.com/hp-15-fd0180tu-intel-core-i3-1315u-silver-laptop
Dell,Dell Pro 15 Essential PV15250 Series 1 Intel Core 3 100U 8GB RAM 512GB SSD 15.6 Inch FHD Display Carbon Black Laptop,Intel Core 3,8GB,512GB SSD,"15.6""",Intel Graphics,73500,In Stock,ryans.com,https://www.ryans.com/dell-pro-15-essential-pv15250-intel-core-3-100u-laptop
Lenovo,"Lenovo IdeaPad 1 15AMN7 AMD Ryzen 3 7320U 16GB RAM, 512GB SSD 15.6 Inch FHD Display Cloud Grey Laptop #82VG00UHIN-2Y",AMD Ryzen 3,16GB,512GB SSD,"15.6""",AMD Radeon 610M Graphics,74000,In Stock,ryans.com,https://www.ryans.com/lenovo-ideapad-1-15amn7-amd-ryzen-3-7320u-16gb-ram-512gb-ssd-laptop
Acer,Acer Aspire Lite AL15-53 13th Gen Intel Core i5 1334U 8GB RAM DDR4 512GB SSD 15.6 Inch FHD Display Steel Gray Laptop,Intel Core i5,8GB,512GB SSD,"15.6""",Intel Iris Xe Graphics,74500,In Stock,ryans.com,https://www.ryans.com/acer-aspire-lite-al15-53-13th-gen-intel-core-i5-1334u-8gb-ram-ddr4-laptop
Acer,Acer Aspire Lite AL15-41 AMD Ryzen 5 5625U 16GB DDR4 512GB SSD 15.6 Inch FHD Display Steel Gray Laptop,AMD Ryzen 5,16GB,512GB SSD,"15.6""",AMD Radeon Graphics,74900,In Stock,ryans.com,https://www.ryans.com/acer-aspire-lite-al15-41-ryzen-5-5625u-laptop
Dell,Dell Pro 14 Essential PV14250 Series 1 Intel Core 3 100U 8GB RAM 512GB SSD 14 Inch FHD Display Carbon Black Laptop,Intel Core 3,8GB,512GB SSD,"14""",Intel Graphics,75500,In Stock,ryans.com,https://www.ryans.com/dell-pro-14-essential-pv14250-intel-core-3-100u-laptop
Acer,Acer Aspire Lite AL15-53 13th Gen Intel Core i5 1334U 16GB RAM DDR4 512GB SSD 15.6 Inch FHD Display Steel Gray Laptop,Intel Core i5,16GB,512GB SSD,"15.6""",Intel Iris Xe Graphics,76500,In Stock,ryans.com,https://www.ryans.com/acer-aspire-lite-al15-53-13th-gen-intel-core-i5-1334u-16gb-ram-laptop
Lenovo,Lenovo IdeaPad Slim 3 14ARP10 AMD Ryzen 5 7535HS 8GB RAM 512GB SSD 14 Inch FHD+ WUXGA Display Cosmic Blue Laptop,AMD Ryzen 5,8GB,512GB SSD,"14""",AMD Radeon 660M Graphics,76900,In Stock,ryans.com,https://www.ryans.com/lenovo-ideapad-slim-3-14arp10-amd-ryzen-5-7535hs-laptop
Lenovo,Lenovo IdeaPad Slim 3 14ARP10 AMD Ryzen 5 7535HS 8GB RAM 512GB SSD 14 Inch FHD+ WUXGA Display Free Dos Luna Grey Laptop,AMD Ryzen 5,8GB,512GB SSD,"14""",AMD Radeon 660M Graphics,76900,In Stock,ryans.com,https://www.ryans.com/lenovo-ideapad-slim-3-14arp10-amd-ryzen-5-7535hs-8gb-ram-free-dos-luna-grey-laptop
Acer,Acer Aspire 15 AS15-42 AMD Ryzen 5 7430U 16GB RAM 512GB SSD 15.6 Inch FHD Pure Silver Laptop,AMD Ryzen 5,16GB,512GB SSD,"15.6""",AMD Radeon Graphics,76900,In Stock,ryans.com,https://www.ryans.com/acer-aspire-15-as15-42-amd-ryzen-5-7430u-15.6-inch-display-laptop
Acer,Acer Aspire Lite AL15-41 AMD Ryzen 5 7430U 16GB RAM 512GB SSD 15.6 Inch FHD Display Steel Gray Laptop,AMD Ryzen 5,16GB,512GB SSD,"15.6""",AMD Radeon Graphics,77500,In Stock,ryans.com,https://www.ryans.com/acer-aspire-lite-al15-41-amd-ryzen-5-7430u-16gb-ram-laptop
Lenovo,"Lenovo IdeaPad Slim 3 15ARP10 AMD Ryzen 5 7535HS 8GB RAM, 512GB SSD 15.3 Inch FHD+ WUXGA Display Cosmic Blue Laptop #83K700D9LK-2Y",AMD Ryzen 5,8GB,512GB SSD,"15.3""",AMD Radeon 660M Graphics,77500,In Stock,ryans.com,https://www.ryans.com/lenovo-ideapad-slim-3-15arp10-amd-ryzen-5-7535hs-8gb-ram-laptop
Lenovo,Lenovo IdeaPad Slim 3 15ARP10 AMD Ryzen 5 7535HS 8GB RAM 512GB SSD 15.3 Inch FHD+ WUXGA Display Luna Grey Laptop,AMD Ryzen 5,8GB,512GB SSD,"15.3""",AMD Radeon 660M Graphics,77500,In Stock,ryans.com,https://www.ryans.com/lenovo-ideapad-slim-3-15arp10-8gb-ram-512gb-ssd-laptop
Acer,"Acer TravelLite TL14-52M-i5 13th Gen Intel Core i5 1335U 8GB RAM, 512GB SSD 14 Inch FHD Display Silver Laptop",Intel Core i5,8GB,512GB SSD,"14""",Intel Iris Xe Graphics,79900,In Stock,ryans.com,https://www.ryans.com/acer-travellite-tl14-52m-i5-13th-gen-intel-core-i5-1335u-laptop
ASUS,ASUS VivoBook 15 X1504VA Intel Core 5 120U 8GB RAM 512GB SSD 15.6 Inch FHD Display Quiet Blue Laptop,Intel Core 5,8GB,512GB SSD,"15.6""",Intel Graphics,80000,In Stock,ryans.com,https://www.ryans.com/asus-vivobook-15-x1504va-intel-core-5-120u-8gb-ram-laptop
Lenovo,Lenovo IdeaPad 1 15AMN7 AMD Ryzen 5 7520U 16GB RAM 512GB SSD 15.6 Inch FHD Display Cloud Grey Laptop,AMD Ryzen 5,16GB,512GB SSD,"15.6""",AMD Radeon 610M Graphics,81000,In Stock,ryans.com,https://www.ryans.com/lenovo-ideapad-1-15amn7-amd-ryzen-5-7520u-16gb-ram-laptop
