Brand,Price_BDT,Availability,RAM_GB,SSD_GB,HDD_GB,Total_Storage_GB,CPU_Brand,CPU_GHz,Screen_Size,Screen_Width,Screen_Height,Is_Touchscreen,PPI,GPU_Brand
HP,209000.0,In Stock,16.0,1024,0,1024,Intel,0.0,16.0,0,0,False,0.0,Nvidia
ASUS,216000.0,In Stock,16.0,1024,0,1024,Intel,0.0,14.0,0,0,False,0.0,Intel
MSI,220000.0,In Stock,16.0,512,0,512,Intel,0.0,15.6,0,0,False,0.0,Nvidia
Microsoft,225000.0,In Stock,16.0,1024,0,1024,Qualcomm,0.0,13.0,0,0,False,0.0,Apple
Microsoft,225000.0,In Stock,16.0,1024,0,1024,Qualcomm,0.0,13.0,0,0,False,0.0,Apple
MSI,227900.0,In Stock,16.0,512,0,512,Intel,0.0,15.6,0,0,False,0.0,Nvidia
ASUS,228000.0,In Stock,16.0,1024,0,1024,Intel,0.0,16.0,0,0,False,0.0,Nvidia
HP,229000.0,In Stock,16.0,1024,0,1024,Intel,0.0,14.0,0,0,False,0.0,Intel
HP,229000.0,In Stock,16.0,1024,0,1024,Intel,0.0,14.0,0,0,False,0.0,Intel
Microsoft,229000.0,In Stock,32.0,1024,0,1024,Qualcomm,0.0,13.8,0,0,False,0.0,Apple
ASUS,232000.0,In Stock,16.0,1024,0,1024,AMD,0.0,16.0,0,0,False,0.0,Nvidia
Lenovo,235000.0,In Stock,32.0,1024,0,1024,AMD,0.0,16.0,0,0,False,0.0,Nvidia
Lenovo,240000.0,In Stock,24.0,1024,0,1024,AMD,0.0,16.0,0,0,False,0.0,Nvidia
Microsoft,245000.0,In Stock,32.0,1024,0,1024,Qualcomm,0.0,13.0,0,0,False,0.0,Apple
Lenovo,248500.0,In Stock,24.0,512,0,512,Intel,0.0,15.1,0,0,False,0.0,Nvidia
ASUS,250000.0,In Stock,16.0,512,0,512,Intel,0.0,14.5,0,0,False,0.0,Nvidia
ASUS,252000.0,In Stock,16.0,1024,0,1024,Intel,0.0,16.0,0,0,False,0.0,Nvidia
ASUS,256000.0,In Stock,32.0,1024,0,1024,AMD,0.0,16.0,0,0,False,0.0,AMD
ASUS,258000.0,In Stock,32.0,1024,0,1024,AMD,0.0,16.0,0,0,False,0.0,Nvidia
ASUS,260000.0,In Stock,16.0,1024,0,1024,Intel,0.0,16.0,0,0,False,0.0,Nvidia
Lenovo,270000.0,In Stock,32.0,512,0,512,AMD,0.0,15.1,0,0,False,0.0,Nvidia
Lenovo,272500.0,In Stock,24.0,512,0,512,Intel,0.0,15.1,0,0,False,0.0,Nvidia
Lenovo,274000.0,In Stock,32.0,512,0,512,Intel,0.0,15.1,0,0,False,0.0,Nvidia
Lenovo,280000.0,In Stock,32.0,1024,0,1024,Intel,0.0,14.0,0,0,False,0.0,Intel
ASUS,282000.0,In Stock,16.0,1024,0,1024,Intel,0.0,16.0,0,0,False,0.0,Nvidia
Acer,285000.0,In Stock,16.0,1024,0,1024,Intel,0.0,16.0,0,0,False,0.0,Nvidia
Lenovo,287000.0,In Stock,16.0,1024,0,1024,Intel,0.0,13.3,0,0,False,0.0,Intel
Apple,288000.0,In Stock,24.0,1024,0,1024,Apple,0.0,15.3,0,0,False,0.0,Apple
Apple,288000.0,In Stock,24.0,1024,0,1024,Apple,0.0,15.3,0,0,False,0.0,Apple
Apple,288000.0,In Stock,24.0,1024,0,1024,Apple,0.0,15.3,0,0,False,0.0,Apple
Apple,288000.0,In Stock,24.0,1024,0,1024,Apple,0.0,15.3,0,0,False,0.0,Apple
Lenovo,298000.0,In Stock,32.0,1024,0,1024,Intel,0.0,14.5,0,0,False,0.0,Intel
Lenovo,299000.0,In Stock,32.0,1024,0,1024,Intel,0.0,14.0,0,0,False,0.0,Intel
ASUS,307000.0,In Stock,16.0,1024,0,1024,AMD,0.0,16.0,0,0,False,0.0,Nvidia
ASUS,312000.0,In Stock,16.0,1024,0,1024,Intel,0.0,16.0,0,0,False,0.0,Nvidia
Apple,315000.0,In Stock,24.0,1024,0,1024,Apple,0.0,14.2,0,0,False,0.0,Apple
Apple,315000.0,In Stock,24.0,1024,0,1024,Apple,0.0,14.2,0,0,False,0.0,Apple
Lenovo,315000.0,In Stock,32.0,1024,0,1024,Intel,0.0,14.0,0,0,False,0.0,Intel
Lenovo,316500.0,In Stock,32.0,1024,0,1024,Intel,0.0,15.1,0,0,False,0.0,Nvidia
ASUS,318000.0,In Stock,32.0,1024,0,1024,Intel,0.0,16.0,0,0,False,0.0,Nvidia
Apple,324000.0,In Stock,32.0,1024,0,1024,Apple,0.0,14.2,0,0,False,0.0,Apple
Apple,324000.0,In Stock,32.0,1024,0,1024,Apple,0.0,14.2,0,0,False,0.0,Apple
Acer,325000.0,In Stock,16.0,1024,0,1024,Intel,0.0,16.0,0,0,False,0.0,Nvidia
Lenovo,325000.0,In Stock,32.0,1024,0,1024,Intel,0.0,16.0,0,0,False,0.0,Nvidia
ASUS,332000.0,In Stock,32.0,1024,0,1024,AMD,0.0,16.0,0,0,False,0.0,Nvidia
MSI,333000.0,In Stock,32.0,1024,0,1024,Intel,0.0,16.0,0,0,False,0.0,Nvidia
HP,336000.0,In Stock,32.0,1024,0,1024,Intel,0.0,16.0,0,0,False,0.0,Nvidia
Lenovo,337000.0,In Stock,32.0,1024,0,1024,Intel,0.0,14.0,0,0,False,0.0,Intel
Acer,340000.0,In Stock,16.0,1024,0,1024,Intel,0.0,16.0,0,0,False,0.0,Nvidia
Apple,355000.0,In Stock,24.0,1024,0,1024,Apple,0.0,14.2,0,0,False,0.0,Apple
Apple,355000.0,In Stock,24.0,1024,0,1024,Apple,0.0,14.2,0,0,False,0.0,Apple
Acer,360000.0,In Stock,32.0,1024,0,1024,Intel,0.0,16.0,0,0,False,0.0,Nvidia
MSI,360000.0,In Stock,32.0,1024,0,1024,Intel,0.0,16.0,0,0,False,0.0,Nvidia
ASUS,377000.0,In Stock,32.0,1024,0,1024,Intel,0.0,16.0,0,0,False,0.0,Nvidia
Apple,405000.0,In Stock,24.0,2048,0,2048,Apple,0.0,14.2,0,0,False,0.0,Apple
Apple,405000.0,In Stock,24.0,2048,0,2048,Apple,0.0,14.2,0,0,False,0.0,Apple
Apple,410000.0,In Stock,48.0,1024,0,1024,Apple,0.0,14.2,0,0,False,0.0,Apple
ASUS,428000.0,In Stock,32.0,2048,0,2048,AMD,0.0,14.0,0,0,False,0.0,Nvidia
Apple,430000.0,In Stock,24.0,2048,0,2048,Apple,0.0,14.2,0,0,False,0.0,Apple
Apple,430000.0,In Stock,24.0,2048,0,2048,Apple,0.0,14.2,0,0,False,0.0,Apple
MSI,449900.0,In Stock,16.0,1024,0,1024,Intel,0.0,16.0,0,0,False,0.0,Nvidia
ASUS,482900.0,In Stock,32.0,1024,0,1024,Other,0.0,14.0,0,0,False,0.0,Intel
Apple,490000.0,In Stock,48.0,1024,0,1024,Apple,0.0,16.2,0,0,False,0.0,Apple
ASUS,490000.0,In Stock,32.0,1024,0,1024,Intel,0.0,16.0,0,0,False,0.0,Nvidia
Apple,500000.0,In Stock,48.0,1024,0,1024,Apple,0.0,16.2,0,0,False,0.0,Apple
Apple,560000.0,In Stock,36.0,2048,0,2048,Apple,0.0,14.2,0,0,False,0.0,Apple
Apple,560000.0,In Stock,36.0,2048,0,2048,Apple,0.0,14.2,0,0,False,0.0,Apple
Apple,610000.0,In Stock,36.0,2048,0,2048,Apple,0.0,16.2,0,0,False,0.0,Apple
Apple,610000.0,In Stock,36.0,2048,0,2048,Apple,0.0,16.2,0,0,False,0.0,Apple
MSI,630000.0,In Stock,32.0,2048,0,2048,Intel,0.0,18.0,0,0,False,0.0,Nvidia
ASUS,649990.0,In Stock,64.0,1024,0,1024,Intel,0.0,18.0,0,0,False,0.0,Nvidia
Acer,660000.0,In Stock,32.0,2048,0,2048,Intel,0.0,16.0,0,0,False,0.0,Nvidia
Apple,695000.0,In Stock,48.0,2048,0,2048,Apple,0.0,16.2,0,0,False,0.0,Apple
Microsoft,145000.0,In Stock,16.0,4,0,4,Qualcomm,0.0,13.8,1920,1280,True,167.21397219543138,Unknown
Lenovo,270000.0,In Stock,32.0,4,0,4,AMD,5.0,,0,0,False,,Apple
ASUS,93000.0,In Stock,16.0,3,0,3,AMD,4.3,14.0,1920,1080,False,157.3505121487356,Unknown
Microsoft,160000.0,In Stock,,256,0,256,Intel,4.4,13.0,2880,1920,True,266.25609418810996,Unknown
Lenovo,240000.0,In Stock,32.0,4,0,4,AMD,5.0,,0,0,False,,Apple
Apple,165000.0,In Stock,16.0,512,0,512,Apple,0.0,,2560,1664,False,,Unknown
